color,seq,probabity
green,1,0.4737
green,2,0.5827
green,3,0.6633
green,4,0.7255
green,5,0.7759
green,6,0.8178
green,7,0.8528
green,8,0.8818
red,9,0.7128
green,10,0.7617
green,11,0.8044
green,12,0.841
green,13,0.8718
green,14,0.8974
green,15,0.9183
green,16,0.9353
green,17,0.9489
green,18,0.9598
green,19,0.9685
green,20,0.9753
green,21,0.9807
green,22,0.9849
green,23,0.9882
red,24,0.9655
green,25,0.973
green,26,0.9788
green,27,0.9835
green,28,0.9871
green,29,0.9899
green,30,0.9922
green,31,0.9939
green,32,0.9952
green,33,0.9963
green,34,0.9971
green,35,0.9978
green,36,0.9983
green,37,0.9986
green,38,0.9989
green,39,0.9992
green,40,0.9994
green,41,0.9995
green,42,0.9996
green,43,0.9997
green,44,0.9998
green,45,0.9998
green,46,0.9999
green,47,0.9999
green,48,0.9999
green,49,0.9999
green,50,0.9999
green,51,1
green,52,1
green,53,1
green,54,1
green,55,1
green,56,1
green,57,1
green,58,1
green,59,1
green,60,1
green,61,1
green,62,1
green,63,1
green,64,1
green,65,1
green,66,1
green,67,1
green,68,1
green,69,1
green,70,1
green,71,1
green,72,1
green,73,1
red,74,1
green,75,1
green,76,1
green,77,1
green,78,1
green,79,1
green,80,1
green,81,1
green,82,1
green,83,1
green,84,1
green,85,1
green,86,1
green,87,1
green,88,1
green,89,1
green,90,1
green,91,1
green,92,1
green,93,1
green,94,1
green,95,1
green,96,1
green,97,1
green,98,1
green,99,1
green,100,1
